# POSIÇÕES DE XEQUE-MATE
# Gerado em: 2026-08-18 11:57:28
# Formato: ID | FEN | Peças | Status
# ======================================================================

  1 | 7k/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  2 | 7k/5Qr1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  3 | 7k/5QQ1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  4 | 6bk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  5 | 7k/5QP1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  6 | 7k/5Qp1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  7 | 7k/5Qn1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  8 | 7k/5Qr1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  9 | 6Pk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
 10 | 6rk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO

######################################################################
# COMANDOS STOCKFISH:
