# POSIÇÕES DE XEQUE-MATE
# Gerado em: 2026-08-18 11:42:48
# Formato: ID | FEN | Peças | Status
# ======================================================================

  1 | 7k/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  2 | 7k/5QP1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  3 | 6Rk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  4 | 7k/5Q1B/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  5 | 7k/5QN1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  6 | 7k/5Q1n/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  7 | 7k/5Qb1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  8 | 7k/5QN1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  9 | 7k/5Qb1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
 10 | 6Bk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO

######################################################################
# COMANDOS STOCKFISH:
