# POSIÇÕES DE XEQUE-MATE
# Gerado em: 2026-08-18 11:49:58
# Formato: ID | FEN | Peças | Status
# ======================================================================

  1 | 7k/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  2 | 6qk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  3 | 6bk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  4 | 7k/5Q1n/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  5 | 7k/5Qr1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  6 | 7k/5Qn1/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  7 | 6nk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  8 | 7k/5Q1q/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
  9 | 7k/5Q1N/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO
 10 | 6Pk/5Q2/7K/8/8/8/8/8 w - - 0 1 |  3 | INVALIDO

######################################################################
# COMANDOS STOCKFISH:
